Merek,Varian,Model,Tahun,Jarak tempuh,Tipe bahan bakar,Warna,Transmisi,Sistem Penggerak,Tipe bodi,Kapasitas mesin,Harga
Nissan,RX,Juke,2013,35.000-40.000 km,Bensin,Silver,Automatic,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,154000000
Toyota,E,Avanza,2016,50.000-55.000 km,Bensin,Hitam,Automatic,Rear Wheel Drive (RWD),MPV,>1.000 - 1.500 cc,144000000
Mitsubishi,Lain-lain,Outlander,2014,35.000-40.000 km,Bensin,Putih,Automatic,Front Wheel Drive (FWD),SUV,>1.500 - 2.000 cc,177000000
Honda,E,Freed,2013,80.000-85.000 km,Bensin,Abu-abu,Automatic,4X2,Minibus,>1.000 - 1.500 cc,165000000
Suzuki,Cross Over,SX4,2017,35.000-40.000 km,Bensin,Abu-abu,Automatic,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,184000000
Suzuki,Lain-lain,SX4,2017,5.000-10.000 km,Bensin,Putih,Manual,Front Wheel Drive (FWD),MPV,>1.500 - 2.000 cc,174000000
Honda,2.0,CR-V,2013,75.000-80.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),MPV,>1.500 - 2.000 cc,227000000
Mitsubishi,Dakar,Pajero Sport,2017,25.000-30.000 km,Bensin,Putih,Automatic,?,?,?,420000000
Nissan,1.2L,March,2016,45.000-50.000 km,Bensin,Putih,Manual,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,104000000
Toyota,SRZ,Fortuner,2016,35.000-40.000 km,Bensin,Silver,Automatic,Rear Wheel Drive (RWD),MPV,>2.000 - 3.000 cc,364000000
Daihatsu,G100,Charade,1989,10.000-15.000 km,Bensin,Biru,Manual,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,23500000
Nissan,Lain-lain,X-Trail,2009,150.000-155.000 km,Bensin,Silver,Automatic,4X2,SUV,>2.000 - 3.000 cc,115000000
Nissan,XV,Teana,2011,55.000-60.000 km,Bensin,Putih,Automatic,4X2,Sedan,>2.000 - 3.000 cc,145000000
Datsun,Lain-lain,Cross,2018,5.000-10.000 km,Bensin,Merah,Automatic,Front Wheel Drive (FWD),SUV,>1.000 - 1.500 cc,127000000
Nissan,2.5,Navara,2009,155.000-160.000 km,Diesel,Hitam,Automatic,4X4,Double Cabin,>2.000 - 3.000 cc,205000000
Honda,E,Mobilio,2016,65.000-70.000 km,Bensin,Hitam,Automatic,Rear Wheel Drive (RWD),MPV,>1.000 - 1.500 cc,135000000
Honda,2.4 Prestige,CR-V,2013,145.000-150.000 km,Bensin,Putih,Automatic,4X2,SUV,>2.000 - 3.000 cc,225000000
Daihatsu,X,Luxio,2011,100.000-105.000 km,Bensin,Abu-abu,Manual,?,?,?,99500000
Honda,S,Jazz,2011,75.000-80.000 km,Bensin,Abu-abu,Automatic,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,127000000
Honda,RS,Jazz,2015,50.000-55.000 km,Bensin,Putih,Manual,?,?,?,175000000
Ford,Sport,Fiesta,2011,105.000-110.000 km,Bensin,Putih,Automatic,Front Wheel Drive (FWD),Hatchback,>1.500 - 2.000 cc,90000000
Mitsubishi,1.4,Lancer,<1986,115.000-120.000 km,Bensin,Putih,Manual,4X2,Sedan,>1.000 - 1.500 cc,10000000
Honda,E,Mobilio,2015,125.000-130.000 km,Bensin,Marun,Manual,?,MPV,>1.000 - 1.500 cc,150000000
Daihatsu,R 1.3 Sporty,Xenia,2012,155.000-160.000 km,Bensin,Putih,Automatic,Rear Wheel Drive (RWD),Minibus,>1.000 - 1.500 cc,98000000
Toyota,Krista,Kijang,2003,175.000-180.000 km,Bensin,Silver,Automatic,4X4,Minibus,>1.500 - 2.000 cc,87000000
Toyota,G,Innova,2006,120.000-125.000 km,Bensin,Hijau,Automatic,4X2,Compact & City Car,>1.500 - 2.000 cc,80000000
Honda,E CVT,HR-V,2017,55.000-60.000 km,Bensin,Silver,Automatic,?,SUV,>1.000 - 1.500 cc,232000000
Toyota,S,Yaris,2018,20.000-25.000 km,Bensin,Putih,Automatic,?,?,?,218000000
Toyota,SSX,Kijang,1993,>300.000 km,Bensin,Biru,Manual,?,?,>1.000 - 1.500 cc,42000000
Daihatsu,Lain-lain,Gran max,2012,150.000-155.000 km,Bensin,Hitam,Manual,?,Pick-up,>1.000 - 1.500 cc,68500000
Toyota,VRZ,Fortuner,2016,55.000-60.000 km,Diesel,Hitam,Automatic Triptonic,Front Wheel Drive (FWD),Minibus,>2.000 - 3.000 cc,370000000
Nissan,1.2,March,2018,20.000-25.000 km,Bensin,Putih,Manual,4X2,Minibus,>1.000 - 1.500 cc,133000000
Honda,2.0,CR-V,2008,55.000-60.000 km,Bensin,Abu-abu,Automatic,4X2,Minibus,>1.000 - 1.500 cc,136000000
Daihatsu,TX,Terios,2011,115.000-120.000 km,Bensin,Hitam,Automatic,4X2,MPV,>1.000 - 1.500 cc,123000000
Daihatsu,R 1.3 DLX,Xenia,2012,90.000-95.000 km,Bensin,Biru,Manual,4X2,MPV,>1.000 - 1.500 cc,105000000
Mazda,Sport,CX-5,2014,55.000-60.000 km,Bensin,Putih,Automatic Triptonic,4X2,SUV,>2.000 - 3.000 cc,200000000
Toyota,S,Yaris,2009,110.000-115.000 km,Bensin,Silver,Automatic,4X2,Compact & City Car,>1.000 - 1.500 cc,95000000
KIA,M/T,Picanto,2013,35.000-40.000 km,Bensin,Abu-abu,Manual,Front Wheel Drive (FWD),Compact & City Car,?,81000000
Honda,2.0,CR-V,2008,80.000-85.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,133000000
Mitsubishi,2.5L Dakar,Pajero Sport,2017,55.000-60.000 km,Diesel,Putih,Automatic Triptonic,Front Wheel Drive (FWD),SUV,>2.000 - 3.000 cc,399999999
Toyota,G,Fortuner,2010,70.000-75.000 km,Bensin,Hitam,Automatic,4X2,Jeep,>2.000 - 3.000 cc,204000000
Toyota,G,Agya,2016,25.000-30.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,106000000
Toyota,G,Avanza,2014,60.000-65.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,134000000
Toyota,G,Avanza,2013,60.000-65.000 km,Bensin,Silver,Manual,4X2,Minibus,>1.000 - 1.500 cc,132000000
Toyota,TRD Sportivo,Agya,2016,10.000-15.000 km,Bensin,Putih,Manual,4X2,Minibus,>1.000 - 1.500 cc,106000000
Toyota,G,Innova,2014,45.000-50.000 km,Bensin,Silver,Manual,4X2,Minibus,>1.500 - 2.000 cc,171000000
Toyota,Veloz,Avanza,2014,60.000-65.000 km,Bensin,Putih,Manual,4X2,Minibus,>1.000 - 1.500 cc,149000000
Suzuki,GX,APV,2013,55.000-60.000 km,Bensin,Silver,Manual,4X2,Minibus,>1.000 - 1.500 cc,112000000
Nissan,2.5,Navara,2008,145.000-150.000 km,Diesel,Hitam,Manual,4X4,Double Cabin,>2.000 - 3.000 cc,155000000
Peugeot,XS,206,2003,110.000-115.000 km,Bensin,Biru,Automatic,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,35000000
Toyota,G,Sienta,2017,15.000-20.000 km,Bensin,Putih,Manual,4X2,Minibus,>1.000 - 1.500 cc,166000000
Toyota,"2,5 V",Camry,2011,130.000-135.000 km,Bensin,Hitam,Automatic Triptonic,4X2,Sedan,>2.000 - 3.000 cc,170000000
Ford,Trend,Fiesta,2011,80.000-85.000 km,Bensin,Abu-abu,Automatic Triptonic,?,?,?,82500000
Toyota,G Luxury,Fortuner,2007,90.000-95.000 km,Bensin,Silver,Automatic,4X2,Jeep,>1.500 - 2.000 cc,158000000
Daihatsu,Lain-lain,Gran max,2014,110.000-115.000 km,Bensin,Hitam,Manual,?,Minibus,>1.000 - 1.500 cc,75000000
Mercedes-Benz,E300,E-Class,2017,0-5.000 km,Bensin,Putih,Automatic,Rear Wheel Drive (RWD),Coupe,>3.000 cc,1550000000
Suzuki,?,Ertiga,2019,0-5.000 km,Bensin,Silver,Manual,?,?,?,180000000
Toyota,4.5 V8 Diesel,Land Cruiser,2012,25.000-30.000 km,Diesel,Hitam,Automatic Triptonic,4X4,Jeep,>3.000 cc,1150000000
Toyota,G,Innova,2014,35.000-40.000 km,Diesel,Silver,Manual,4X2,MPV,>2.000 - 3.000 cc,225000000
Daihatsu,X 1.3 Plus,Xenia,2014,110.000-115.000 km,Bensin,Putih,Manual,4X2,Minibus,>1.000 - 1.500 cc,110000000
Nissan,1.6,Latio,2010,280.000-285.000 km,Bensin,Ungu,Manual,Rear Wheel Drive (RWD),Sedan,>1.500 - 2.000 cc,49000000
Toyota,TRD Sportivo,Yaris,2015,35.000-40.000 km,Bensin,Oranye,Automatic,Front Wheel Drive (FWD),?,>1.000 - 1.500 cc,168000000
Chevrolet,ACTIV,Spin,2015,30.000-35.000 km,Bensin,Putih,Automatic,?,?,>1.000 - 1.500 cc,147500000
Toyota,G,Innova,2016,50.000-55.000 km,Bensin,Abu-abu,Manual,Rear Wheel Drive (RWD),MPV,>2.000 - 3.000 cc,235000000
Honda,E CVT,HR-V,2018,20.000-25.000 km,Bensin,Abu-abu,Automatic,4X2,Hatchback,>1.000 - 1.500 cc,270000000
Mitsubishi,Lain-lain,Xpander,2019,0-5.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,225000000
Daihatsu,X,Ayla,2018,5.000-10.000 km,Bensin,Merah,Manual,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,122000000
Toyota,G,Rush,2014,90.000-95.000 km,Bensin,Silver,Automatic,4X2,SUV,>1.000 - 1.500 cc,145000000
Honda,E,Freed,2015,30.000-35.000 km,Bensin,Abu-abu,Automatic,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,209000000
Toyota,G,Sienta,2017,20.000-25.000 km,Bensin,Abu-abu,Automatic,4X2,MPV,>1.000 - 1.500 cc,162000000
Toyota,G,Avanza,2018,15.000-20.000 km,Bensin,Hitam,Manual,?,?,?,162000000
Isuzu,Touring,Panther,2002,295.000-300.000 km,Diesel,Biru,Manual,?,Jeep,>2.000 - 3.000 cc,114500000
Mitsubishi,Dakar,Pajero Sport,2016,20.000-25.000 km,Diesel,Putih,Automatic,?,?,?,430000000
Honda,2.4,CR-V,2010,80.000-85.000 km,Bensin,Silver,Automatic,4X2,Sedan,>2.000 - 3.000 cc,115000000
Toyota,G,Innova,2015,50.000-55.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Minibus,>2.000 - 3.000 cc,180000000
Datsun,Panca T,Go,2017,15.000-20.000 km,Bensin,Putih,Manual,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,80000000
BMW,528i Luxury,Serie 5,2014,30.000-35.000 km,Bensin,Putih,Automatic,?,?,?,499000000
Toyota,G,Vios,2013,>300.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Sedan,>1.500 - 2.000 cc,87500000
Suzuki,Cross Over,SX4,2011,95.000-100.000 km,Bensin,Hitam,Manual,4X2,SUV,>1.000 - 1.500 cc,112500000
Land Rover,HSE,Range Rover Sport,2017,5.000-10.000 km,Bensin,Putih,Automatic,4X4,SUV,>2.000 - 3.000 cc,1950000000
Daihatsu,Li Deluxe,Xenia,2008,95.000-100.000 km,Bensin,Coklat,Manual,Rear Wheel Drive (RWD),MPV,<1.000 cc,78500000
Toyota,G,Innova,2015,75.000-80.000 km,Bensin,Lainnya,Manual,?,?,>1.500 - 2.000 cc,195000000
Mitsubishi,Exceed,Pajero Sport,2015,60.000-65.000 km,Diesel,Hitam,Automatic Triptonic,4X2,Minibus,>2.000 - 3.000 cc,310000000
Toyota,Lain-lain,Kijang Pick-Up,1986,>300.000 km,Bensin,Putih,Manual,4X2,Pick-up,>1.000 - 1.500 cc,29000000
Toyota,SGX,Kijang,2000,20.000-25.000 km,Bensin,Silver,Manual,4X2,Minibus,>1.500 - 2.000 cc,65000000
Honda,2.4 Prestige,CR-V,2013,65.000-70.000 km,Bensin,Hitam,Automatic Triptonic,4X2,MPV,>2.000 - 3.000 cc,250000000
Honda,VTEC,City,2004,140.000-145.000 km,Bensin,Silver,Automatic,?,Sedan,>1.000 - 1.500 cc,67500000
Honda,2.4,CR-V,2012,105.000-110.000 km,Bensin,Abu-abu,Automatic Triptonic,4X2,MPV,>2.000 - 3.000 cc,220000000
Toyota,LX,Kijang,1999,25.000-30.000 km,Bensin,Hijau,Manual,4X2,Minibus,>1.500 - 2.000 cc,50000000
Honda,i-DSI,City,2003,95.000-100.000 km,Bensin,Coklat,Manual,4X2,Sedan,>1.000 - 1.500 cc,65000000
Suzuki,Lain-lain,Karimun estillo,2010,80.000-85.000 km,Bensin,Coklat,Manual,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,62000000
Nissan,Lain-lain,Grand livina,2013,80.000-85.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,115000000
Chevrolet,Lain-lain,Captiva,2009,80.000-85.000 km,Diesel,Silver,Automatic,4X2,SUV,>1.500 - 2.000 cc,97500000
Honda,E,Freed,2014,85.000-90.000 km,Bensin,Abu-abu,Automatic,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,155000000
Daihatsu,Lain-lain,Gran max,2009,10.000-15.000 km,Bensin,Putih,Automatic,All Wheel Drive (AWD),Minibus,>1.000 - 1.500 cc,51000000
Honda,VTEC,Jazz,2008,95.000-100.000 km,Bensin,Putih,Automatic Triptonic,4X2,Hatchback,>1.000 - 1.500 cc,85000000
Toyota,G S C Package,Alphard,2009,95.000-100.000 km,Bensin,Hitam,Automatic,4X2,MPV,>2.000 - 3.000 cc,288000000
Suzuki,?,Ertiga,2013,70.000-75.000 km,Bensin,Hitam,Automatic,?,MPV,>1.000 - 1.500 cc,113000000
Honda,2.4,CR-V,2011,90.000-95.000 km,Bensin,Biru,Automatic,4X2,MPV,>2.000 - 3.000 cc,165000000
Toyota,Lain-lain,Kijang,2014,65.000-70.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.500 - 2.000 cc,175000000
Daihatsu,R,Terios,2018,15.000-20.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),SUV,>1.000 - 1.500 cc,240000000
Toyota,G,Avanza,2012,90.000-95.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),MPV,>1.000 - 1.500 cc,125103000
Daihatsu,Lain-lain,Feroza,1994,40.000-45.000 km,Bensin,Lainnya,Manual,?,?,?,35000000
Honda,2.0,Accord,1991,35.000-40.000 km,Bensin,Silver,Manual,4X4,Sedan,>1.500 - 2.000 cc,34000000
Toyota,TRD Sportivo,Agya,2015,30.000-35.000 km,Bensin,Putih,Automatic,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,101000000
Toyota,S,Avanza,2011,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),MPV,>1.000 - 1.500 cc,120000000
Nissan,Lain-lain,Grand livina,2010,160.000-165.000 km,Bensin,Hitam,Automatic,4X2,MPV,>1.500 - 2.000 cc,72000000
Mini Cooper,?,Mini Cooper,2017,5.000-10.000 km,Bensin,Merah,Automatic,?,?,?,690000000
Honda,E CVT,HR-V,2017,5.000-10.000 km,Bensin,Putih,Automatic,4X2,SUV,>1.000 - 1.500 cc,245000000
Honda,S,Freed,2013,65.000-70.000 km,Bensin,Hitam,Automatic,?,?,?,170000000
Suzuki,Mega Carry Box,APV,2014,35.000-40.000 km,Bensin,Putih,Manual,4X2,Pick-up,>1.000 - 1.500 cc,72000000
BMW,318i 1.8,Serie 3,2002,15.000-20.000 km,Bensin,Silver,Automatic Triptonic,?,Sedan,>1.000 - 1.500 cc,90000000
Nissan,X-Gear,Livina,2009,70.000-75.000 km,Bensin,Hitam,Manual,4X2,MPV,>1.000 - 1.500 cc,81000000
Datsun,Panca T Opt,Go+,2016,15.000-20.000 km,Bensin,Putih,Manual,4X4,MPV,>1.000 - 1.500 cc,84000000
Toyota,1.5,Kijang,1992,80.000-85.000 km,Bensin,Silver,Manual,4X2,Minibus,>1.000 - 1.500 cc,29500000
Datsun,Panca T Style,Go+,2015,35.000-40.000 km,Bensin,Abu-abu,Manual,4X2,Sedan,>1.000 - 1.500 cc,87500000
KIA,EX AT,Rio 5 Door,2011,115.000-120.000 km,Bensin,Putih,Automatic,4X2,Sedan,>1.000 - 1.500 cc,78000000
Suzuki,Lain-lain,Grand vitara,2006,0-5.000 km,Bensin,Abu-abu,Automatic,?,?,?,87000000
Suzuki,Lain-lain,Futura,2015,5.000-10.000 km,Bensin,Hitam,Manual,4X2,Pick-up,>1.000 - 1.500 cc,90000000
Nissan,HWS,Serena,2014,65.000-70.000 km,Bensin,Putih,Automatic,4X2,MPV,>1.500 - 2.000 cc,186000000
Ford,Titanium,Ecosport,2015,45.000-50.000 km,Bensin,Abu-abu,Automatic Triptonic,?,?,?,122000000
Mitsubishi,Dakar,Pajero Sport,2016,5.000-10.000 km,Diesel,Hitam,Automatic Triptonic,4X4,SUV,>2.000 - 3.000 cc,540000000
Nissan,Lain-lain,Grand livina,2018,10.000-15.000 km,Bensin,Putih,Automatic,4X2,MPV,>1.000 - 1.500 cc,160000000
Mitsubishi,Dakar,Pajero Sport,2017,35.000-40.000 km,Diesel,Hitam,Automatic Triptonic,4X2,Jeep,>2.000 - 3.000 cc,438000000
Suzuki,GX Elegant,Ertiga,2018,15.000-20.000 km,Bensin,Silver,Automatic Triptonic,Rear Wheel Drive (RWD),MPV,>1.500 - 2.000 cc,165000000
Toyota,TRD Sportivo,Yaris,2015,85.000-90.000 km,Bensin,Hitam,Automatic,4X2,Sedan,>1.000 - 1.500 cc,175000000
Hyundai,Lain-lain,Lain-lain,2008,35.000-40.000 km,Bensin,Merah,Manual,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,60000000
Toyota,Lain-lain,Alphard,2015,30.000-35.000 km,Bensin,Putih,Automatic,4X2,Minibus,>2.000 - 3.000 cc,705000000
Daihatsu,X Deluxe,Xenia,2016,20.000-25.000 km,Bensin,Hitam,Automatic,4X2,Minibus,>1.000 - 1.500 cc,139000000
Mitsubishi,Dakar,Pajero Sport,2014,75.000-80.000 km,Bensin,Putih,Automatic,4X2,?,>3.000 cc,325000000
Toyota,2.0,Crown,1990,25.000-30.000 km,Bensin,Hitam,Automatic,Rear Wheel Drive (RWD),Sedan,>1.500 - 2.000 cc,36000000
Honda,Sports E,Brio,2012,70.000-75.000 km,Bensin,Putih,Automatic,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,117500000
Hyundai,GLS,Atoz,2001,140.000-145.000 km,Bensin,Silver,Automatic,Front Wheel Drive (FWD),Minibus,<1.000 cc,44000000
Honda,GK,Jazz,2016,25.000-30.000 km,Bensin,Kuning,Automatic Triptonic,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,223000000
Toyota,G,Avanza,2018,45.000-50.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),MPV,>1.000 - 1.500 cc,170000000
Toyota,Lain-lain,Lain-lain,1999,50.000-55.000 km,Bensin,Lainnya,Automatic,4X2,Sedan,>1.500 - 2.000 cc,49000000
Daihatsu,R 1.3 Sporty,Xenia,2014,80.000-85.000 km,Bensin,Hitam,Manual,All Wheel Drive (AWD),MPV,>1.000 - 1.500 cc,115000000
Isuzu,Touring,Panther,2002,>300.000 km,Diesel,Biru,Automatic,4X2,MPV,>2.000 - 3.000 cc,85000000
Daihatsu,Li Deluxe,Xenia,2008,100.000-105.000 km,Bensin,Silver,Manual,4X2,Minibus,<1.000 cc,75000000
Hyundai,GL,Grand Avega,2011,55.000-60.000 km,Bensin,Hitam,Manual,?,?,?,90000000
Nissan,Lain-lain,X-Trail,2005,100.000-105.000 km,Bensin,Hitam,Automatic,4X2,SUV,>2.000 - 3.000 cc,72500000
Honda,?,HR-V,2019,0-5.000 km,Bensin,Lainnya,Automatic,?,?,?,230000000
Toyota,?,Rush,2019,0-5.000 km,Bensin,Lainnya,Manual,?,?,?,267900000
Suzuki,GX,Ertiga,2019,0-5.000 km,Bensin,Lainnya,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,190500000
Mitsubishi,ULTIMATE A/T,Xpander,2018,25.000-30.000 km,Bensin,Hitam,Automatic,4X2,Hatchback,>1.500 - 2.000 cc,241000000
Proton,Lain-lain,Lain-lain,2017,0-5.000 km,Bensin,Merah,Manual,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,110000000
Daihatsu,X Elegant,Ayla,2015,105.000-110.000 km,Bensin,Merah,Automatic,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,85000000
Toyota,Lain-lain,Corolla,<1986,45.000-50.000 km,Bensin,Ungu,Manual,4X2,Sedan,<1.000 cc,16500000
Hyundai,1.5,Accent,2000,70.000-75.000 km,Bensin,Hitam,Manual,4X2,Sedan,>1.000 - 1.500 cc,33000000
Honda,VTEC,Jazz,2006,100.000-105.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,93000000
Honda,i-DSI,City,2003,185.000-190.000 km,Bensin,Merah,Automatic Triptonic,4X2,Sedan,>1.000 - 1.500 cc,47500000
Mercedes-Benz,E300,E-Class,1990,195.000-200.000 km,Bensin,Abu-abu,Automatic,Front Wheel Drive (FWD),Sedan,>3.000 cc,100000000
Suzuki,GL,Splash,2014,55.000-60.000 km,Bensin,Putih,Automatic,4X2,Compact & City Car,>1.000 - 1.500 cc,113000000
Suzuki,Lain-lain,Karimun estillo,2011,40.000-45.000 km,Bensin,Silver,Manual,4X2,Wagon,>1.000 - 1.500 cc,56500000
Toyota,V,Sienta,2016,40.000-45.000 km,Bensin,Putih,Manual,4X2,Compact & City Car,>1.000 - 1.500 cc,149000000
Honda,VTi-L,Accord,2006,155.000-160.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),Sedan,>2.000 - 3.000 cc,95000000
Honda,E,Mobilio,2014,50.000-55.000 km,Bensin,Putih,Automatic,4X2,MPV,>1.500 - 2.000 cc,123950000
Mazda,Lain-lain,Lain-lain,1988,295.000-300.000 km,Bensin,Kuning,Manual,Rear Wheel Drive (RWD),Sedan,>1.500 - 2.000 cc,19750000
Toyota,2.0,Corona,<1986,50.000-55.000 km,Bensin,Hijau,Manual,Rear Wheel Drive (RWD),Sedan,>1.500 - 2.000 cc,18000000
Toyota,Gli,Soluna,2002,115.000-120.000 km,Bensin,Silver,Automatic,4X2,SUV,>2.000 - 3.000 cc,39999999
Toyota,G 1.8,Corolla Altis,2005,170.000-175.000 km,Bensin,Hitam,Automatic,4X2,Sedan,>1.500 - 2.000 cc,85000000
Toyota,G,Calya,2017,35.000-40.000 km,Bensin,Putih,Automatic,4X2,Minibus,>1.000 - 1.500 cc,116000000
Hyundai,GL8,Trajet,2005,100.000-105.000 km,Bensin,Abu-abu,Manual,?,Minibus,>2.000 - 3.000 cc,60000000
Honda,E Limited Edition,HR-V,2017,10.000-15.000 km,Bensin,Merah,Automatic Triptonic,Front Wheel Drive (FWD),SUV,>1.000 - 1.500 cc,235000000
Toyota,Lain-lain,Kijang,1989,>300.000 km,Bensin,Lainnya,Manual,?,SUV,>1.000 - 1.500 cc,33000000
Honda,E,Brio,2017,25.000-30.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,128000000
Daihatsu,Lain-lain,Gran max,2015,60.000-65.000 km,Bensin,Silver,Manual,?,Minibus,>1.000 - 1.500 cc,88600000
Honda,VTEC,City,2006,120.000-125.000 km,Bensin,Abu-abu,Manual,4X2,Sedan,>1.000 - 1.500 cc,74990000
Toyota,G,Yaris,2015,5.000-10.000 km,Bensin,Putih,Automatic,4X2,MPV,>1.000 - 1.500 cc,153000000
Daihatsu,Adventure R,Terios,2018,35.000-40.000 km,Bensin,Coklat,Manual,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,220000000
Toyota,2.0,Corolla,2004,100.000-105.000 km,Bensin,Hitam,Manual,4X2,Hatchback,>1.000 - 1.500 cc,78990000
Toyota,TRD Sportivo,Yaris,2018,10.000-15.000 km,Bensin,Kuning,Automatic Triptonic,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,220000000
Ford,Trend,Fiesta,2014,75.000-80.000 km,Bensin,Merah,Automatic,4X2,Compact & City Car,>1.000 - 1.500 cc,119000000
Toyota,G,Avanza,2017,55.000-60.000 km,Bensin,Putih,Manual,Rear Wheel Drive (RWD),Minibus,>1.000 - 1.500 cc,162000000
Suzuki,GX,Karimun,2006,145.000-150.000 km,Bensin,Coklat,Manual,4X2,Compact & City Car,>1.000 - 1.500 cc,58999999
Isuzu,2.5,Panther,2000,180.000-185.000 km,Diesel,Abu-abu,Manual,4X2,SUV,>2.000 - 3.000 cc,58500000
Daihatsu,Lain-lain,Sirion,2015,5.000-10.000 km,Bensin,Putih,Automatic,4X2,MPV,>1.000 - 1.500 cc,120000000
Toyota,G,Agya,2014,40.000-45.000 km,Bensin,Putih,Manual,Rear Wheel Drive (RWD),Compact & City Car,>1.000 - 1.500 cc,88000000
Honda,E,Mobilio,2015,55.000-60.000 km,Bensin,Abu-abu,Automatic,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,148000000
Toyota,G,Innova,2016,55.000-60.000 km,Diesel,Abu-abu,Manual,Front Wheel Drive (FWD),Minibus,>2.000 - 3.000 cc,275000000
Toyota,?,Innova,2015,90.000-95.000 km,Bensin,Abu-abu,Automatic,?,?,?,189000000
Toyota,G,Alphard,2012,45.000-50.000 km,Bensin,Putih,Automatic,?,?,?,395000000
Toyota,V,Innova,2012,150.000-155.000 km,Bensin,Silver,Automatic,Rear Wheel Drive (RWD),Minibus,?,155000000
Honda,2.4 Prestige,CR-V,2017,45.000-50.000 km,Bensin,Silver,Automatic Triptonic,Front Wheel Drive (FWD),SUV,>1.500 - 2.000 cc,400000000
Daihatsu,Lain-lain,Espass,2002,105.000-110.000 km,Bensin,Silver,Manual,4X2,Minibus,>1.000 - 1.500 cc,35000000
Honda,E,Brio,2014,5.000-10.000 km,Bensin,Putih,Automatic,4X2,MPV,?,120000000
Toyota,S,Rush,2010,95.000-100.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Jeep,>1.000 - 1.500 cc,128000000
Suzuki,GL,Splash,2010,80.000-85.000 km,Bensin,Merah,Manual,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,68000000
Honda,i-DSI,City,2008,10.000-15.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,82000000
Toyota,G,Agya,2014,75.000-80.000 km,Bensin,Silver,Automatic,4X2,Compact & City Car,>1.000 - 1.500 cc,82500000
Mercedes-Benz,E200K,E-Class,2007,180.000-185.000 km,Bensin,Silver,Automatic Triptonic,4X2,Sedan,>1.500 - 2.000 cc,135000000
Daihatsu,X,Xenia,2015,60.000-65.000 km,Bensin,Marun,Manual,Rear Wheel Drive (RWD),Minibus,>1.000 - 1.500 cc,125000000
Toyota,S,Yaris,2008,125.000-130.000 km,Bensin,Abu-abu,Automatic,?,?,>1.000 - 1.500 cc,96000000
Hyundai,GL Airbag,Grand Avega,2014,65.000-70.000 km,Bensin,Silver,Automatic,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,100000000
Daihatsu,X,Ayla,2015,45.000-50.000 km,Bensin,Putih,Manual,Front Wheel Drive (FWD),Minibus,<1.000 cc,109000000
