Merek,Varian,Model,Tahun,Jarak tempuh,Tipe bahan bakar,Warna,Transmisi,Sistem Penggerak,Tipe bodi,Kapasitas mesin,Harga
Mitsubishi,Dakar 2.4,Pajero Sport,2016,55.000-60.000 km,Diesel,Abu-abu,Automatic Triptonic,4X4,Jeep,>2.000 - 3.000 cc,530000000
Toyota,Lain-lain,Lain-lain,2004,10.000-15.000 km,Bensin,Biru,Manual,4X2,Sedan,>1.500 - 2.000 cc,55000000
Honda,2.0 i-VTEC,CR-V,2009,120.000-125.000 km,Bensin,Abu-abu,Automatic,4X2,SUV,>1.500 - 2.000 cc,125000000
Nissan,Lain-lain,Grand livina,2013,85.000-90.000 km,Bensin,Putih,Automatic,4X2,SUV,>1.500 - 2.000 cc,105800000
Toyota,S,Avanza,2008,155.000-160.000 km,Bensin,Silver,Manual,Rear Wheel Drive (RWD),Bus,>1.500 - 2.000 cc,96000000
Honda,RS,Jazz,2009,65.000-70.000 km,Bensin,Abu-abu,Automatic Triptonic,4X2,Minibus,>1.000 - 1.500 cc,122000000
Honda,RS M/T,Jazz,2013,25.000-30.000 km,Bensin,Putih,Manual,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,177000000
Daihatsu,X Deluxe,Xenia,2016,55.000-60.000 km,Bensin,Silver,Manual,4X2,MPV,>1.000 - 1.500 cc,116000000
Citroen,Lain-lain,BX,1986,200.000-205.000 km,Bensin,Abu-abu,Manual,Front Wheel Drive (FWD),Sedan,>1.500 - 2.000 cc,9000000
Suzuki,Lain-lain,Wagon R,2018,15.000-20.000 km,Bensin,Putih,Manual,Front Wheel Drive (FWD),Wagon,>1.000 - 1.500 cc,88000000
Toyota,G,Innova,2012,80.000-85.000 km,Diesel,Hitam,Automatic,Rear Wheel Drive (RWD),MPV,>2.000 - 3.000 cc,187000000
Mercedes-Benz,Lain-lain,SLK,1996,25.000-30.000 km,Bensin,Putih,Manual,Rear Wheel Drive (RWD),Sedan,>1.500 - 2.000 cc,60000000
Nissan,230 JM,Teana,2005,90.000-95.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),Sedan,>2.000 - 3.000 cc,77000000
Mitsubishi,Dakar,Pajero Sport,2018,15.000-20.000 km,Diesel,Hitam,Automatic Triptonic,4X2,Jeep,>2.000 - 3.000 cc,470000000
Suzuki,Lain-lain,Karimun estillo,2010,150.000-155.000 km,Bensin,Silver,Manual,All Wheel Drive (AWD),Compact & City Car,<1.000 cc,61500000
Toyota,Gli,Soluna,2000,125.000-130.000 km,Bensin,Merah,Automatic,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,37000000
Nissan,Autech,Serena,2010,135.000-140.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),MPV,>1.500 - 2.000 cc,115000000
Nissan,Lain-lain,Grand livina,2012,5.000-10.000 km,Bensin,Hitam,Manual,4X2,SUV,>1.000 - 1.500 cc,100000000
Daihatsu,Li Family,Xenia,2006,70.000-75.000 km,Bensin,Biru,Manual,4X2,Minibus,<1.000 cc,69500000
Toyota,G,Avanza,2008,85.000-90.000 km,Bensin,Silver,Manual,Rear Wheel Drive (RWD),MPV,>1.000 - 1.500 cc,90000000
