Daihatsu,R 1.3 DLX,Xenia,2017,50.000-55.000 km,Bensin,Putih,Manual,Rear Wheel Drive (RWD),Minibus,>1.000 - 1.500 cc,Diler,142000000
Toyota,2.5 G,Alphard,2018,20.000-25.000 km,Bensin,Hitam,Automatic,All Wheel Drive (AWD),MPV,>2.000 - 3.000 cc,Individu,955000000
Nissan,1.5 CVT,Juke,2011,125.000-130.000 km,Bensin,Putih,Automatic,>1.500 - 2.000 cc,Individu,130000000
Honda,2.4 Prestige,CR-V,2016,50.000-55.000 km,Bensin,Putih,Automatic Triptonic,4X2,SUV,>2.000 - 3.000 cc,Diler,Pasar Mobil Kemayoran,335000000
Jeep,Wrangler ,Rubicon,2017,0-5.000 km,Bensin,Hitam,Automatic,4X4,Double Cabin,>3.000 cc,Individu,1775000000
Land Rover,Lain-lain,Lain-lain,<1986,50.000-55.000 km,Bensin,Hijau,Manual,4X4,Offroad,>2.000 - 3.000 cc,Individu,78000000
Honda,Jazz,VTEC,2007,135.000-140.000 km,Bensin,Silver,Manual,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,Individu,53500000
Ford,Trend,Ecosport,2014,105.000-110.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),SUV,>1.000 - 1.500 cc,Diler,130000000
Honda,1.5 Hybrid,CR-Z,2014,5.000-10.000 km,Bensin,Merah,Automatic Triptonic,4X2,Sports & Super Car,>1.000 - 1.500 cc,Individu,Bursa Gading Auto Center,332000000
Toyota,Avanza,G,2018,10.000-15.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,Diler,Bursa Mobil Karawaci,151000000
Suzuki,Carry,Lain-lain,1990,35.000-40.000 km,Bensin,Merah,Manual,4X2,Hatchback,>1.000 - 1.500 cc,Individu,18000000
Toyota,Innova,G,2005,110.000-115.000 km,Diesel,Biru,Manual,4X4,SUV,>2.000 - 3.000 cc,Individu,50000000
Toyota,G,Avanza,2015,55.000-60.000 km,Bensin,Abu-abu,Manual,Rear Wheel Drive (RWD),Minibus,>1.000 - 1.500 cc,Diler,150000000
Toyota,Avanza,S,2009,100.000-105.000 km,Bensin,Hitam,Automatic,4X2,Minibus,Individu,71000000
Suzuki,Futura,Lain-lain,1995,25.000-30.000 km,Bensin,Biru,Manual,All Wheel Drive (AWD),Van,>1.000 - 1.500 cc,Individu,30000000
Toyota,G,Avanza,2015,10.000-15.000 km,Bensin,Coklat,Manual,4X2,Minibus,>1.000 - 1.500 cc,Individu,135000000
Honda,S,Mobilio,2014,75.000-80.000 km,Bensin,Putih,Manual,Minibus,>1.000 - 1.500 cc,Individu,132000000
Honda,2.4,CR-V,2012,95.000-100.000 km,Bensin,Putih,Automatic,Front Wheel Drive (FWD),SUV,>2.000 - 3.000 cc,Diler,175000000
Hyundai,Cakra,Lain-lain,1996,15.000-20.000 km,Bensin,Silver,Manual,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,Individu,Bursa Mobil Kelapa Gading,20000000
Mitsubishi,T120SS,Pick Up,2004,25.000-30.000 km,Bensin,Hitam,Manual,4X2,Pick-up,>1.000 - 1.500 cc,Individu,36000000
